source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
1,2,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,2.1393257980314,3.51541499248132,0.608555690468105,224,0.54343558776245,0.778865337509701,0.450132361573672
1,2,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-9.82515342871593,3.48746399228184,-2.81727738278019,224,0.00527597104679578,0.0539866804788405,0.626230972830895
1,2,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,2.95862871196745,1.62713562142658,1.81830492369991,224,0.0703531556245162,0.281412622498065,0.307597156420683
1,2,hbr,0,aloc_sentences-dloc_jabwords,1.36902921564143,0.825867668027046,1.65768593279837,224,0.0987806518450125,0.350511990417786,0.316574439100364
1,2,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.66278840881267,1.18751362089817,3.92651362203828,224,0.000114752132892693,0.00360649560519891,0.923156793054979
1,2,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-1.92472997752982,1.12403401824247,-1.71234139384794,224,0.0882176501785857,0.328947170157438,0.313357861814767
1,2,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-0.565031007174774,1.14608928019625,-0.493007845844281,224,0.622489989548565,0.829575222860161,0.484931551050189
1,9,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.72617856361641,5.27403690422661,0.706513555229439,224,0.480603066629876,0.744596300412484,0.426532583713033
1,9,hbo,0,aloc_sentences-dloc_jabwords,-6.09403675156665,2.65086144855792,-2.29888919878548,224,0.0224329710248037,0.151867363755091,0.422355448119925
1,9,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-6.15414627140619,3.73721160360251,-1.64672138593219,224,0.101017511661889,0.354426713326619,0.317241527044245
1,9,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-6.03392723172711,3.7332512574452,-1.61626604148159,224,0.107444274614611,0.369063728695471,0.319134512131911
1,9,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-5.97601773363277,3.77382511927225,-1.58354389638097,224,0.114708357987203,0.370408967460447,0.321236536863633
1,9,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.827862861339721,1.87500096576328,0.441526631962407,224,0.659257696575408,0.850965167167022,0.503690777618934
1,9,hbr,0,aloc_sentences-dloc_jabwords,0.769668391146319,1.03444766316754,0.744038020047864,224,0.457633245374178,0.721715512418059,0.418597255867146
1,9,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.688687407391559,1.488821296067,0.462572243701011,224,0.644120027722961,0.840987573288139,0.495734485377991
1,9,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,0.85064937490108,1.43150887790888,0.59423269253048,224,0.552956163523963,0.781772637479792,0.453987826816905
1,9,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-2.16416005603347,1.487902861473,-1.45450359164643,224,0.147206532378604,0.429403992351784,0.330285985993797
2,1,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-3.97502510283858,3.54209029705462,-1.12222579592168,224,0.262967922329542,0.55627829723557,0.360998617385392
2,1,hbo,0,aloc_sentences-dloc_jabwords,0.948030240761038,1.75312360031293,0.540766344478971,224,0.589205965991206,0.799945560828628,0.46946284145632
2,1,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-1.32031304925643,2.5012311446652,-0.527865268298966,224,0.59811535538454,0.80234986697926,0.473476525821568
2,1,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,3.2163735307785,2.47369760862763,1.30022906581653,224,0.194858704396427,0.478027344556213,0.342995167995431
2,1,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-0.111498601509379,2.46533488148137,-0.0452265541476385,224,0.963967021297667,0.986384859002264,0.843036219160273
2,1,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.517442857681885,2.12477596636484,0.243528195853584,224,0.807819124747844,0.912951591589473,0.607022964378393
2,1,hbr,0,aloc_sentences-dloc_jabwords,0.500255501708087,1.2931329041831,0.386855442383248,224,0.699230491927991,0.869444729630095,0.526500065159349
2,1,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,1.87378515945709,1.83462525492164,1.0213449065036,224,0.308192839510977,0.606019891782025,0.373278705099718
2,1,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.873274156040911,1.83445686013249,-0.476039625144329,224,0.634510107224053,0.831247887606844,0.490856221887852
2,1,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,0.0314321528950673,1.85716439299941,0.0169248091410491,224,0.986511665943415,0.995562231686015,0.918591398438365
2,2,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.637261710451415,3.04000708022882,0.209625074426948,224,0.834150835664392,0.917565919230831,0.63261323482885
2,2,hbo,0,aloc_sentences-dloc_jabwords,1.2764670208324,1.27023247141486,1.00490819559241,224,0.316025356704534,0.615939092701654,0.375452092764824
