source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power,Contrast
10,10,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-3.47357759511384,4.06019588973834,-0.8555197063010891,156,0.393575574581215,0.78580068887429,0.3980196662370879,Localizer v. Not (Baseline)
10,10,hbo,0,aloc_sentences-dloc_jabwords,-1.38158235963054,2.05339232440511,-0.672829221776117,156,0.5020513935107961,0.7994752048323579,0.434194485134359,Federonko Contrast (Sent v. Wordlist)
10,10,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-2.0303920190861597,2.90211816871054,-0.699624171399021,156,0.48520396657656,0.7994752048323579,0.428109117853246,Syntactic (Sentence v. Non Sentence)
10,10,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.732772700174922,2.93524571906551,-0.249646118352304,156,0.8031894553391709,0.953610095385023,0.602838151599079,Semantic (Words v. Non Words)
10,10,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-0.0898192146931312,2.41427309862278,-0.0372034194244092,156,0.9703703771653409,0.994948341260978,0.8620736793927479,Localizer v. Not (Baseline)
10,10,hbr,0,aloc_sentences-dloc_jabwords,0.480490957296255,1.5176621004245099,0.316599430902211,156,0.751970826833902,0.9498578865270341,0.561473362609513,Federonko Contrast (Sent v. Wordlist)
10,10,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.9451045257979499,2.13926610289435,0.44178913718085705,156,0.6592535986170971,0.9049052500542809,0.503598197688419,Syntactic (Sentence v. Non Sentence)
10,10,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,0.0158773887945592,2.13788211767643,0.00742669049115561,156,0.9940839016029909,0.998702362020168,0.9554426227188321,Semantic (Words v. Non Words)
10,11,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-3.24475872222221,4.70999475486651,-0.688909200773445,156,0.49190372497397,0.7994752048323579,0.430505316597173,Localizer v. Not (Baseline)
10,11,hbo,0,aloc_sentences-dloc_jabwords,3.9040953430689704,2.4035398319916803,1.62431064844632,156,0.106328335598596,0.430437599531668,0.319106598511123,Federonko Contrast (Sent v. Wordlist)
10,11,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-0.0652844721147301,3.4770856959757,-0.018775629312297,156,0.985044087887188,0.997403577029948,0.9130964389287041,Syntactic (Sentence v. Non Sentence)
10,11,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,7.87347515825266,3.4182670193676903,2.3033528725643797,156,0.0225795607642774,0.19965085307361102,0.422662049375313,Semantic (Words v. Non Words)
